task,arm,model,run,run_id,t_min,score,cost_usd,source,src_excerpt
fix_embedding,ARA-4.6,claude-sonnet-4-6,parent,fix_embedding_ara_seed0_job7591646,4.7924620350201925,2.196209989125846,2.4411783000000002,trace_inline,
fix_embedding,ARA-4.6,claude-sonnet-4-6,parent,fix_embedding_ara_seed0_job7591646,131.67609027226766,0.3343819153858753,19.23833789999999,trace_inline,
fix_embedding,ARA-4.6,claude-sonnet-4-6,parent,fix_embedding_ara_seed0_job7591646,180.99904727141063,0.2458900784822185,30.841817250000023,trace_inline,
fix_embedding,ARA-4.6,claude-sonnet-4-6,parent,fix_embedding_ara_seed0_job7591646,259.29102796316147,0.2476465275582253,42.9242127,trace_inline,
fix_embedding,ARA-4.6,claude-sonnet-4-6,parent,fix_embedding_ara_seed0_job7591646,447.21000300248465,0.23627450629433938,51.42381044999997,trace_inline,
fix_embedding,ARA-4.6,claude-sonnet-4-6,parent,fix_embedding_ara_seed0_job7591646,448.981396094958,0.23627450629433938,51.542888999999974,trace_inline,
fix_embedding,ARA-4.6,claude-sonnet-4-6,parent,fix_embedding_ara_seed0_job7591646,477.56318042675656,0.23627450629433938,53.91999224999998,trace_inline,
fix_embedding,paper-4.6,claude-sonnet-4-6,parent,fix_embedding_paper_seed0_job7591645,4.282653363545736,2.196209989125846,0.6556388202050715,trace_inline,
fix_embedding,paper-4.6,claude-sonnet-4-6,parent,fix_embedding_paper_seed0_job7591645,89.32424927552542,0.38020670330321404,14.013147696000983,trace_inline,
fix_embedding,paper-4.6,claude-sonnet-4-6,parent,fix_embedding_paper_seed0_job7591645,179.7746789574623,0.250639475972978,21.899736415173336,trace_inline,
fix_embedding,paper-4.6,claude-sonnet-4-6,parent,fix_embedding_paper_seed0_job7591645,356.5460567990939,0.25464329772532535,41.765004292308596,tmp_subagent,
fix_embedding,paper-4.6,claude-sonnet-4-6,parent,fix_embedding_paper_seed0_job7591645,380.35468546946845,0.25464329772532535,46.92065548701847,trace_inline,
fix_embedding,paper-4.6,claude-sonnet-4-6,parent,fix_embedding_paper_seed0_job7591645,396.40307751496636,0.25464329772532535,49.24745436876652,tmp_subagent,
fix_embedding,paper-4.6,claude-sonnet-4-6,parent,fix_embedding_paper_seed0_job7591645,397.6628280043602,0.25464329772532535,49.99424965000001,final_json,harness post-agent
fix_embedding,paper-4.6,claude-sonnet-4-6,resume,fix_embedding_paper_seed0_resume_job7729813,399.237896780173,0.25464329772532535,50.796449354901824,trace_inline(resume),
fix_embedding,paper-4.6,claude-sonnet-4-6,resume,fix_embedding_paper_seed0_resume_job7729813,400.0560254613559,0.250639475972978,50.88029852528772,trace_inline(resume),
fix_embedding,paper-4.6,claude-sonnet-4-6,resume,fix_embedding_paper_seed0_resume_job7729813,405.3464382529259,0.250639475972978,55.012719100000005,final_json(resume),harness post-agent
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,0.0,0.6142578125,0.0,baseline_json,harness pre-agent
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,4.178906659285228,0.6142578125,0.35354197737520987,persisted,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,7.648680651187897,0.6142578125,0.4442257209614361,tmp_subagent,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,148.1617414514224,0.3837890625,20.174304782715883,persisted,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,151.63166638215384,0.3837890625,21.07052098136043,tmp_subagent,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,166.5369214216868,0.1259765625,23.036983050380083,persisted,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,170.00691701571148,0.1259765625,23.399613700627825,tmp_subagent,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,254.9295441667239,0.8095703125,30.17134075359957,tmp_subagent,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,270.36509653329847,0.7880859375,32.39427640396435,tmp_subagent,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,280.5739983518918,0.796875,34.045384778228296,tmp_subagent,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,281.771515917778,0.796875,34.14359843871101,tmp_subagent,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,301.46104471683503,0.732421875,36.64458736210344,tmp_subagent,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,306.86603349844614,0.732421875,38.274364953663074,trace_inline,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,330.5908716638883,0.8154296875,43.43922616355059,trace_inline,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,334.5804964343707,0.8154296875,43.6310964062053,tmp_subagent,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,364.4973947842916,0.4326171875,49.10736823161346,tmp_subagent,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,382.3626887838046,0.8193359375,49.309686899813464,trace_inline,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,392.8126569191615,0.8173828125,49.381612038117474,trace_inline,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,403.4202613910039,0.8251953125,49.47219579338325,trace_inline,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,413.77584171295166,0.8291015625,49.54828832100399,trace_inline,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,424.2172302007675,0.8232421875,49.625974733240774,trace_inline,
nanogpt_chat_rl,ARA-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_ara_seed0_job7077234,424.8199167450269,0.830078125,49.71922915000002,final_json,harness post-agent
nanogpt_chat_rl,paper-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_paper_seed0_job7517443,0.0,0.615234375,0.0,baseline_json,harness pre-agent
nanogpt_chat_rl,paper-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_paper_seed0_job7517443,147.4265460173289,0.6142578125,18.75259297025671,tmp_subagent,
nanogpt_chat_rl,paper-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_paper_seed0_job7517443,222.90309584935505,0.443359375,29.461408767220323,tmp_subagent,
nanogpt_chat_rl,paper-4.6,claude-sonnet-4-6,parent,nanogpt_chat_rl_paper_seed0_job7517443,258.2002494732539,0.609375,36.32312474999998,final_json,harness post-agent
nanogpt_chat_rl,paper-4.6,claude-sonnet-4-6,resume,nanogpt_chat_rl_paper_seed0_resume_job7723617,284.17915496031446,0.5830078125,40.360345682453385,persisted(resume),
nanogpt_chat_rl,paper-4.6,claude-sonnet-4-6,resume,nanogpt_chat_rl_paper_seed0_resume_job7723617,335.2518345872561,0.5126953125,46.67693905181384,persisted(resume),
nanogpt_chat_rl,paper-4.6,claude-sonnet-4-6,resume,nanogpt_chat_rl_paper_seed0_resume_job7723617,361.031230155627,0.73046875,48.54123513410879,trace_inline(resume),
nanogpt_chat_rl,paper-4.6,claude-sonnet-4-6,resume,nanogpt_chat_rl_paper_seed0_resume_job7723617,455.2321658333143,0.7431640625,50.38960574999997,final_json(resume),harness post-agent
restricted_mlm,ARA-4.5,claude-sonnet-4-5,parent,restricted_mlm_ara_seed1_job6786400,4.744143942991893,1.428534476199535,0.7043683500000002,persisted,
restricted_mlm,ARA-4.5,claude-sonnet-4-5,parent,restricted_mlm_ara_seed1_job6786400,15.01275718609492,1.3784212311084714,2.934732300000002,persisted,
restricted_mlm,ARA-4.5,claude-sonnet-4-5,parent,restricted_mlm_ara_seed1_job6786400,23.182181668281554,1.206385493798773,4.982113050000003,trace_inline,
restricted_mlm,ARA-4.5,claude-sonnet-4-5,parent,restricted_mlm_ara_seed1_job6786400,28.17621873219808,1.1913807368043667,7.347479850000004,trace_inline,
restricted_mlm,ARA-4.5,claude-sonnet-4-5,parent,restricted_mlm_ara_seed1_job6786400,33.486195707321166,1.1943538605855615,10.097306249999995,trace_inline,
restricted_mlm,ARA-4.5,claude-sonnet-4-5,parent,restricted_mlm_ara_seed1_job6786400,46.04810622930527,1.1362686630430183,12.982683599999996,trace_inline,
restricted_mlm,ARA-4.5,claude-sonnet-4-5,parent,restricted_mlm_ara_seed1_job6786400,48.31095081567764,1.1242757182727692,13.422673349999995,trace_inline,
